"Source:","C:\Users\Catherine\Documents\BlastGate\BlastGate R2\sensor\sensor.kicad_sch"
"Date:","11/16/2022 3:57:41 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","36"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uf","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C2, C3, ","2","1uf","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C4, C5, ","2","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C6, ","1",".002uf","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C7, ","1",".1uf","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C8, C9, C10, ","3",".22uf","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"D1, D2, ","2","D","D","Diode_SMD:D_SOD-123","Diode",""
"D3, ","1","LED","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode",""
"J1, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","USB Micro Type B connector",""
"J2, ","1","RJ9","RJ9","projlib:modjack","RJ connector, 4P4C (4 positions 4 connected)",""
"R1, R2, R8, R9, ","4","100K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R3, R4, R10, ","3","4.99K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R5, R6, ","2","300K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R7, ","1","1M","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R11, ","1","100M","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R12, R13, R14, ","3","R","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"RV1, RV2, RV3, ","3","R_Potentiometer_Small","R_Potentiometer_Small","Potentiometer_SMD:Potentiometer_Bourns_TC33X_Vertical","Potentiometer",""
"U1, U2, ","2","A1302ELHLT-T","A1302ELHLT-T","Package_TO_SOT_THT:TO-92L_Inline","Linear Hall Effect Sensor, SOT-23W",""
"U3, ","1","TLV9104","TLV9104","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","",""
"U4, ","1","TLV9101","TLV9101","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering","",""
